what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1602339203406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1602339210574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1602339211324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339212884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339214350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339215037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339220572
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1602339222425
error,log,,,"Unhandled event loop exception",1602339230569
error,log,,,"Unhandled event loop exception",1602339230570
error,log,,,"Unhandled event loop exception",1602339230570
error,log,,,"Unhandled event loop exception",1602339230571
error,log,,,"Unhandled event loop exception",1602339230571
error,log,,,"Unhandled event loop exception",1602339230571
error,log,,,"Unhandled event loop exception",1602339230572
error,log,,,"Unhandled event loop exception",1602339230572
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1602339230600
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1602339230617
error,log,,,"Unhandled event loop exception",1602339232955
error,log,,,"Unhandled event loop exception",1602339232956
error,log,,,"Unhandled event loop exception",1602339232956
error,log,,,"Unhandled event loop exception",1602339232956
error,log,,,"Unhandled event loop exception",1602339232957
error,log,,,"Unhandled event loop exception",1602339232957
error,log,,,"Unhandled event loop exception",1602339232958
error,log,,,"Unhandled event loop exception",1602339232958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339235606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339237823
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1602339237827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1602339237827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339239049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339249469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339250503
error,log,,,"Internal Error",1602339252464
error,log,,,"Problems encountered while deleting resources.",1602339252464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339253582
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1602339253587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1602339253587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339254718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339259254
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602339259364
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1602339259670
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1602339259670
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1602339259671
stopped,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1602339259671
stopped,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1602339259671
stopped,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1602339259671
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1602339259671
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1602339259671
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1602339259671
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1602339259671
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1602339259672
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1602339259673
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1602339259673
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1602339259674
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1602339259674
